codebarre,carrefour
3083681081596,"2,25"
3124480186676,
3175681136397,"3,29"
3497917000907,"1,45"
3664346306621,"1,55"
3083681093926,"3,25"
3661344688339,"1,99"
3046920028004,
3154230040286,"2,65"
3273220012123,"2,95"
3599741003380,"4,15"
8410014478764,
3033491024832,"2,49"
3036811363147,"1,85"
3166352967211,"3,45"
3245412694516,"1,99"
3270190207696,"1,89"
3523230029681,"3,29"
3660603004774,"1,45"
5449000004840,"1,95"
5449000008046,
3033490004590,
3038359007224,"4,09"
3178530408515,"2,49"
3256540001787,
7613031514274,
7613035859098,"2,99"
3560071190965,"1,99"
3154230600121,"1,35"
3083680025881,"1,15"
3178530402988,"1,45"
3178530404678,"5,59"
3431410001023,"2,10"
3523230030793,"2,85"
3560070778065,"1,85"
3600900006972,"2,15"
5038862166508,"2,99"
8410076481597,"2,39"
8410376000825,
3175681263130,"2,75"
3497917002451,"4,69"
3033491350795,"1,59"
3033710003228,"4,39"
3178530403022,"1,45"
4002359654404,
5410126004021,"2,09"
3124480195319,"1,89"
3270190127765,"1,19"
3297760097143,"1,69"
3523230014267,"2,55"
8000500309469,
3560071406073,"1,99"
3017760000406,"1,25"
3045320083453,
3123930710737,"2,45"
3166359678103,"3,95"
3248832960025,"3,29"
3354599571005,"2,79"
3560071014094,"1,65"
3608580823476,"3,35"
7613035989443,
8722700027775,"1,85"
3228857001132,"2,25"
3045320027280,
3178530411492,"3,15"
3179730115821,
3661344221772,"1,99"
3760091726667,"2,65"
7622400006753,"1,65"
8024884600301,
3073781116090,
3061990143372,"1,45"
3168930009801,"3,89"
3175681854475,"3,25"
3245411253844,
3412290015980,"3,19"
3560071010522,"1,89"
5411188122661,"3,09"
8076809543934,"1,85"
8852018101017,"0,55"
3057640265358,
3024720022422,"2,45"
3123349011227,"2,09"
3176582033334,"1,99"
3270190008262,"8,75"
3412290071801,"2,09"
7622210713803,"3,85"
3109850018511,"4,15"
3166352968591,"3,59"
3178530404241,
3245414620131,"1,29"
3560071010058,"2,95"
3608580006657,"1,39"
5900020006226,"2,55"
7610216210464,"1,69"
8002270015328,
3023260005872,"3,39"
3033710075225,"5,55"
3448781100002,
3560071157722,"3,15"
5449000051981,
8712566145003,"2,59"
6111252421568,
5411188135005,
3017760038706,"1,05"
3166353931402,"3,59"
3248832967284,"3,45"
3560070149278,"2,79"
6111242101142,
8076800195033,"1,19"
8715035130104,
90357473,
3302740057502,"2,45"
3017760290692,
3021769505619,
3088866541056,"3,05"
3163937010003,"18,79"
3175681060524,"1,89"
3421557501630,"5,65"
3560070157198,"1,65"
3560070740338,"3,15"
5053827188531,
5400101041424,"2,99"
5060517889852,"1,45"
3182180002542,"2,65"
3045320072518,"3,15"
3124480185266,"2,99"
3229820019611,"1,99"
8076800195019,"1,09"
8076808060654,
8076809512268,"1,09"
8722700114703,"2,25"
3033491432736,"1,85"
3560071194345,"1,79"
3228857001507,"1,69"
3302740058660,"2,15"
3036811366230,
3083680652094,"1,29"
3242272922056,"2,45"
3259011046300,"2,49"
3276551080656,"0,99"
3497911105127,"1,45"
3560070710713,"1,79"
5013803000035,
9002515600653,"2,45"
3560071096984,
3168930164661,"1,19"
3166290200197,"1,55"
3178050000725,"6,79"
3498425800058,"2,65"
3560070060252,"0,99"
3560070386352,"2,19"
3608580823513,"2,29"
3660140846455,"2,59"
5038862239677,"3,99"
5411188115458,
3154230802280,"2,29"
3014680009175,"1,79"
3068320118437,"1,29"
3123349014129,"2,99"
3165440002919,"2,45"
3229820787985,"1,99"
3248832940539,"4,79"
3502490171606,
4008400163826,"4,75"
7613035989566,
3222110030884,"3,09"
3019081236267,
3038350013606,"1,15"
3051106605016,
3166352940092,"4,15"
3245412846991,"3,79"
3270190021179,"2,39"
3270190128717,"1,19"
3372900020059,"3,39"
3392460488809,"1,65"
3392590203501,
3421557910494,"3,99"
3560070845408,"0,95"
5410041000900,
5410126716016,
7613035336100,
7613036077569,
7613036400640,"1,89"
3302740030925,"3,89"
3228857001330,"3,15"
3056440032696,"1,35"
3068110702235,"1,29"
3095758049019,"2,95"
3175681060586,"1,79"
3422440006423,
3560070391073,"1,99"
3599740001608,
3700278403936,
5055953902531,"2,35"
3123349014433,"2,79"
